Gold,Silver,Bronze,Gold_Ratio,Silver_Ratio,Bronze_Ratio,Country,Cluster,Cluster_Description,DBSCAN_Cluster,Agglo_Cluster
-0.014365556604875,0.3629594584532955,0.2605559555406435,-0.3046502320661004,0.406156454526099,-0.0875443625606826,Denmark,0,Low Medal Count,0,0
0.0774066399583076,0.1122056571148681,0.2111763994502795,0.0587273641463862,-0.0135045657284494,-0.0415687188631598,Cuba,0,Low Medal Count,0,0
-0.0536964979890962,0.0181729816129578,0.2605559555406435,-0.1907185368977935,-0.09589039185546,0.2610555043695661,Ukraine,0,Low Medal Count,0,0
0.0642963261635672,0.0181729816129578,0.0465778791490666,0.247927952265568,-0.0436324216149403,-0.187558808854584,Norway,0,Low Medal Count,0,0
-0.014365556604875,0.0651893193639129,-0.0192615289714185,0.082915521674082,0.2023820229019673,-0.2584499026727072,Belgium,0,Low Medal Count,0,0
0.024965384779346,-0.1072039190562558,-0.0028016769412972,0.3500785045364876,-0.2361159453341876,-0.1074210506254012,Romania,0,Low Medal Count,0,0
-0.1192480669627982,0.1435498822821715,-0.0851009370919037,-0.211749532953571,0.5930438491487238,-0.3411561787938507,Spain,0,Low Medal Count,0,0
-0.0930274393733174,0.0181729816129578,-0.0357213810015398,-0.0660904121228151,0.2360444931908034,-0.1524367049393249,Greece,0,Low Medal Count,0,0
-0.145468694552279,-0.0758596938889524,-0.0521812330316611,-0.1198140359097433,0.1162769673210496,0.0047718108954545,Poland,0,Low Medal Count,0,0
-0.2372408911154617,-0.1072039190562558,0.0794975832093092,-0.5381871673845539,0.0117307323645085,0.4819979682341669,Belarus,0,Low Medal Count,0,0
-0.145468694552279,-0.1698923693908627,-0.0521812330316611,-0.0106406331701977,-0.151904403707017,0.1467659012577875,Brazil,0,Low Medal Count,0,0
-0.1585790083470193,-0.1385481442235592,-0.2496994573931167,0.1727605647454571,0.2664644017934262,-0.3984874366464893,Czechoslovakia,0,Low Medal Count,0,0
-0.1716893221417597,-0.1228760316399075,-0.266159309423238,0.1182753282294005,0.3817675553622127,-0.4526298553049574,Kenya,0,Low Medal Count,0,0
-0.2241305773207213,-0.2325808197254695,-0.101560789122025,-0.1907185368977935,-0.181245076581642,0.3380506054132906,Kazakhstan,0,Low Medal Count,0,0
-0.2110202635259809,-0.1228760316399075,-0.266159309423238,-0.0585237045471914,0.4893988748383597,-0.3879032044275406,South Africa,0,Low Medal Count,0,0
-0.1979099497312405,-0.2012365945581661,-0.2167797533328741,0.0563956667575933,0.074818977596904,-0.1191078070338236,Turkey,0,Low Medal Count,0,0
-0.2241305773207213,-0.2482529323091212,-0.266159309423238,0.1100247066998263,0.0385432365882767,-0.1354692660056153,New Zealand,0,Low Medal Count,0,0
-0.2765718324996829,-0.2639250448927729,-0.2167797533328741,-0.2682011539453952,-0.0015510034738904,0.2468721962825641,Bulgaria,0,Low Medal Count,0,0
-0.2896821462944233,-0.2795971574764247,-0.2003199013027528,-0.356692884148795,-0.0820490916295926,0.4004790657190132,Czech Republic,0,Low Medal Count,0,0
-0.2110202635259809,-0.3266134952273798,-0.2496994573931167,0.3390352015882803,-0.4350022473892104,0.082093918159828,Ethiopia,0,Low Medal Count,0,0
-0.3421234014733849,-0.2795971574764247,-0.1674001972425102,-0.7940076808978139,-0.008097001851387,0.7340254107810166,Azerbaijan,0,Low Medal Count,0,0
-0.2503512049102021,-0.2639250448927729,-0.3319987175437232,0.1457773999946481,0.2067307630828218,-0.3199075307785371,Argentina,0,Low Medal Count,0,0
-0.2503512049102021,-0.2952692700600764,-0.3319987175437232,0.2380424149490274,0.0280115698438364,-0.2431382218199848,Iran,0,Low Medal Count,0,0
-0.2765718324996829,-0.2639250448927729,-0.3319987175437232,-0.03875262991411,0.3088560163622419,-0.2431382218199848,Austria,0,Low Medal Count,0,0
-0.2372408911154617,-0.3266134952273798,-0.3649184216039657,0.5543796090783272,-0.1324709710238238,-0.3879032044275406,Jamaica,0,Low Medal Count,0,0
-0.3027924600891636,-0.3736298329783349,-0.3319987175437232,0.0807725030949719,-0.386872271603808,0.2750546136502432,Egypt,0,Low Medal Count,0,0
-0.3027924600891636,-0.3893019455619866,-0.3155388655136019,0.0807725030949719,-0.5847399498326846,0.4535432569788774,Uzbekistan,0,Low Medal Count,0,0
-0.2765718324996829,-0.3579577203946832,-0.3978381256642083,0.5543796090783272,-0.1324709710238238,-0.3879032044275406,Croatia,0,Low Medal Count,0,0
-0.2896821462944233,-0.3109413826437281,-0.4307578297244509,0.3500785045364876,0.4893988748383597,-0.7618794094970598,Slovakia,0,Low Medal Count,0,0
-0.3290130876786444,-0.3893019455619866,-0.3319987175437232,-0.155297911961747,-0.4597708898986573,0.5568787873270339,Estonia,0,Low Medal Count,0,0
-0.3421234014733849,-0.3736298329783349,-0.381378273634087,-0.211749532953571,-0.0158703749246643,0.2081213724020054,Colombia,0,Low Medal Count,0,0
-0.3552337152681252,-0.3579577203946832,-0.381378273634087,-0.4798947326647355,0.256197682640041,0.2081213724020054,Mexico,0,Low Medal Count,0,0
-0.3027924600891636,-0.3893019455619866,-0.4307578297244509,0.717820492711799,-0.2153869504721149,-0.4626984454414444,Mixed team,0,Low Medal Count,0,0
